OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
2746,Margaret Brent Middle School,St. Mary's,89,10/20/21,15:00:00+00
2601,Margaret Brent Middle School,St. Mary's,83,10/13/21,15:00:00+00
571,Talmudical Academy of Baltimore,Baltimore,72,2/10/21,15:00:00+00
2742,Leonardtown High School,St. Mary's,72,10/20/21,15:00:00+00
2260,Leonardtown High School,St. Mary's,71,10/6/21,15:00:00+00
2595,Leonardtown High School,St. Mary's,71,10/13/21,15:00:00+00
528,Talmudical Academy of Baltimore,Baltimore,62,2/3/21,15:00:00+00
2267,Margaret Brent Middle School,St. Mary's,62,10/6/21,15:00:00+00
1929,Margaret Brent Middle School,St. Mary's,61,9/29/21,15:00:00+00
450,Talmudical Academy of Baltimore,Baltimore,56,1/27/21,15:00:00+00
2729,Great Mills High School,St. Mary's,55,10/20/21,15:00:00+00
590,Bais Yaakov Eva Winer High School,Baltimore,51,2/17/21,15:00:00+00
624,Bais Yaakov Eva Winer High School,Baltimore,51,2/24/21,15:00:00+00
558,Bais Yaakov Eva Winer High School,Baltimore,49,2/10/21,15:00:00+00
2794,Spring Ridge Middle School,St. Mary's,49,10/20/21,15:00:00+00
393,Talmudical Academy of Baltimore,Baltimore,48,1/20/21,15:00:00+00
507,Bais Yaakov Eva Winer High School,Baltimore,45,2/3/21,15:00:00+00
431,Bais Yaakov Eva Winer High School,Baltimore,44,1/27/21,15:00:00+00
2580,Great Mills High School,St. Mary's,44,10/13/21,15:00:00+00
2652,Spring Ridge Middle School,St. Mary's,42,10/13/21,15:00:00+00
2704,Carter G Woodson Elementary,Somerset,42,10/20/21,15:00:00+00
2776,Piney Point Elementary School,St. Mary's,42,10/20/21,15:00:00+00
2726,Friends School,Baltimore City,41,10/20/21,15:00:00+00
2553,Chesapeake High School,Anne Arundel,40,10/13/21,15:00:00+00
2576,Friends School,Baltimore City,40,10/13/21,15:00:00+00
2708,Chesapeake High School,Anne Arundel,40,10/20/21,15:00:00+00
2234,Friends School,Baltimore City,39,10/6/21,15:00:00+00
2548,Carter G.  Woodson Elementary School,Somerset,39,10/13/21,15:00:00+00
2635,Piney Point Elementary School,St. Mary's,39,10/13/21,15:00:00+00
2802,St. Ursula Catholic School,Baltimore,39,10/20/21,15:00:00+00
2723,Fort Hill High School,Allegany,38,10/20/21,15:00:00+00
383,Bais Yaakov Eva Winer High School,Baltimore,37,1/20/21,15:00:00+00
2666,Talmudical Academy,Baltimore,37,10/13/21,15:00:00+00
313,Talmudical Academy,Baltimore,36,12/30/20,15:00:00+00
324,Talmudical Academy of Baltimore,Baltimore,36,1/6/21,15:00:00+00
347,Talmudical Academy of Baltimore,Baltimore,36,1/13/21,15:00:00+00
2003,Talmudical Academy,Baltimore,36,9/29/21,15:00:00+00
2305,Piney Point Elementary School,St. Mary's,36,10/6/21,15:00:00+00
2335,Talmudical Academy,Baltimore,36,10/6/21,15:00:00+00
2660,St. Ursula Catholic School,Baltimore,36,10/13/21,15:00:00+00
1899,Friends School,Baltimore City,35,9/29/21,15:00:00+00
1923,Leonardtown High School,St. Mary's,35,9/29/21,15:00:00+00
338,Bais Yaakov Eva Winer High School,Baltimore,34,1/13/21,15:00:00+00
2238,Great Mills High School,St. Mary's,34,10/6/21,15:00:00+00
2760,North East Middle School,Cecil,34,10/20/21,15:00:00+00
1436,Williamsport High School,Washington,33,6/2/21,15:00:00+00
2204,Carter G Woodson Elementary,Somerset,33,10/6/21,15:00:00+00
2332,St. Ursula Catholic School,Baltimore,33,10/6/21,15:00:00+00
2573,Fort Hill High School,Allegany,33,10/13/21,15:00:00+00
2720,Esperanza Middle School,St. Mary's,33,10/20/21,15:00:00+00
2770,Parkside High School,Wicomico,33,10/20/21,15:00:00+00
604,Talmudical Academy of Baltimore - Elementary,Baltimore,32,2/17/21,15:00:00+00
1382,Williamsport High School,Washington,32,5/19/21,15:00:00+00
1404,Williamsport High School,Washington,32,5/26/21,15:00:00+00
2629,Parkside High School,Wicomico,32,10/13/21,15:00:00+00
2819,Williamsport High School,Washington,32,10/20/21,15:00:00+00
316,Bais Yaakov Eva Winer High School,Baltimore,31,1/6/21,15:00:00+00
1274,Williamsport High School,Washington,31,5/12/21,15:00:00+00
2682,Williamsport High School,Washington,31,10/13/21,15:00:00+00
1233,Williamsport High School,Washington,30,5/5/21,15:00:00+00
2286,North East Middle School,Cecil,30,10/6/21,15:00:00+00
2617,North East Middle School,Cecil,30,10/13/21,15:00:00+00
2619,Northeast High School,Anne Arundel,30,10/13/21,15:00:00+00
2703,Career Center for Technical Education,Allegany,30,10/20/21,15:00:00+00
2762,Northeast High School,Anne Arundel,30,10/20/21,15:00:00+00
1870,Carter G Woodson Elementary,Somerset,29,9/29/21,15:00:00+00
2000,St. Ursula Catholic School,Baltimore,29,9/29/21,15:00:00+00
2233,Fort Hill High School,Allegany,29,10/6/21,15:00:00+00
2325,Spring Ridge Middle School,St. Mary's,29,10/6/21,15:00:00+00
2547,Career Center for Technical Education,Allegany,29,10/13/21,15:00:00+00
2622,Northwest Middle School,Carroll,29,10/13/21,15:00:00+00
2687,Allegany High School,Allegany,29,10/20/21,15:00:00+00
2765,Northwest Middle School,Carroll,29,10/20/21,15:00:00+00
2788,Somerset Intermediate School,Somerset,29,10/20/21,15:00:00+00
2754,Mountain Ridge High School,Allegany,28,10/20/21,15:00:00+00
300,Bais Yaakov Eva Winer High School,Baltimore,27,12/30/20,15:00:00+00
1953,Northwest Middle School,Carroll,27,9/29/21,15:00:00+00
2195,Broadfording Christian Academy,Washington,27,10/6/21,15:00:00+00
2203,Career Center for Technical Education,Allegany,27,10/6/21,15:00:00+00
2291,Northwest Middle School,Carroll,27,10/6/21,15:00:00+00
2299,Parkside High School,Wicomico,27,10/6/21,15:00:00+00
2528,Allegany High School,Allegany,27,10/13/21,15:00:00+00
2816,Western Heights Middle School,Washington,27,10/20/21,15:00:00+00
397,Torah Institute of Baltimore,Baltimore,26,1/20/21,15:00:00+00
453,Torah Institute of Baltimore,Baltimore,26,1/27/21,15:00:00+00
1960,Parkside High School,Wicomico,26,9/29/21,15:00:00+00
2351,Williamsport High School,Washington,26,10/6/21,15:00:00+00
2650,Somerset Intermediate School,Somerset,26,10/13/21,15:00:00+00
2706,Catoctin High School,Frederick,26,10/20/21,15:00:00+00
